timestamp_ms,acceleration_x_m_s2,acceleration_y_m_s2,acceleration_z_m_s2
29468,-0.57,1.13,9.55
29503,-0.59,1.17,9.53
29537,-0.57,1.18,9.48
29575,-0.57,1.16,9.52
29611,-0.58,1.15,9.52
29645,-0.58,1.2,9.5
29679,-0.58,1.14,9.5
29717,-0.57,1.16,9.53
29752,-0.58,1.15,9.53
29786,-0.57,1.16,9.47
29824,-0.59,1.17,9.53
29858,-0.57,1.18,9.5
29893,-0.58,1.16,9.53
29928,-0.57,1.15,9.5
29966,-0.56,1.17,9.54
30002,-0.56,1.17,9.52
30035,-0.57,1.15,9.5
30070,-0.58,1.16,9.51
30108,-0.57,1.16,9.56
30143,-0.56,1.14,9.53
30178,-0.58,1.15,9.49
30216,-0.57,1.15,9.56
30251,-0.58,1.13,9.51
30284,-0.56,1.19,9.5
30320,-0.6,1.13,9.54
30358,-0.59,1.15,9.49
30393,-0.56,1.17,9.49
30428,-0.58,1.16,9.5
30462,-0.59,1.17,9.48
30500,-0.56,1.14,9.46
30534,-0.56,1.18,9.53
30569,-0.58,1.18,9.5
30607,-0.55,1.16,9.54
30642,-0.59,1.19,9.46
30678,-0.6,1.16,9.53
30712,-0.59,1.15,9.57
30750,-0.56,1.17,9.51
30783,-0.58,1.15,9.53
30819,-0.57,1.16,9.57
30853,-0.82,0.4,9.58
30888,-0.61,1.16,9.56
30923,-0.77,0.66,9.52
30959,-0.74,0.71,9.6
30994,-0.55,1.19,9.53
31029,-0.58,1.15,9.51
31064,-0.61,1.11,9.61
31097,-0.66,0.94,9.47
31134,-0.56,1.3,9.54
31169,-0.76,0.56,9.61
31204,-0.89,0.19,9.47
31237,-0.69,0.97,9.53
31276,-0.18,1.95,9.2
